1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
732	-0.749020	-0.754676	0.028279	21.017640	0.338971	0.102739	0.011092	0.102666	6	48	54
733	-0.808549	-0.814189	0.028201	22.017640	0.331091	0.123549	0.011154	0.123355	6	42	49
734	-0.754602	-0.759988	0.026934	22.858156	0.324746	0.093526	0.010516	0.093347	6	49	56
735	-0.800785	-0.806679	0.029471	21.906655	0.331948	0.099606	0.011645	0.099774	9	41	51
736	-0.799763	-0.805428	0.028326	20.955375	0.339474	0.109463	0.011162	0.109426	6	50	57
737	-0.765499	-0.771165	0.028333	21.954195	0.331580	0.103263	0.011153	0.103008	6	42	49
738	-0.765758	-0.771407	0.028247	21.002694	0.339092	0.103930	0.010982	0.103855	7	52	60
739	-0.779122	-0.784763	0.028202	20.051281	0.346951	0.107599	0.011038	0.107762	8	53	61
740	-0.744367	-0.750060	0.028468	19.099871	0.355182	0.113461	0.011159	0.113386	12	69	82
741	-0.794074	-0.799832	0.028791	18.148371	0.363815	0.109009	0.011333	0.108890	11	67	80
742	-0.788381	-0.794141	0.028800	17.196871	0.372878	0.113661	0.011386	0.113473	12	75	87
743	-0.773825	-0.779562	0.028687	18.196871	0.363365	0.128353	0.011200	0.128317	12	103	116
744	-0.770174	-0.775678	0.027519	19.195484	0.354337	0.108298	0.010876	0.108107	22	152	176
745	-0.767820	-0.773459	0.028194	20.192627	0.345760	0.104781	0.011037	0.104821	48	178	227
746	-0.775454	-0.781191	0.028688	19.241126	0.353936	0.093300	0.011207	0.093064	37	171	209
747	-0.751173	-0.756922	0.028745	18.446675	0.361064	0.100176	0.011138	0.100239	12	75	88
748	-0.758612	-0.764285	0.028366	17.646096	0.368543	0.109618	0.011074	0.109552	11	63	75
749	-0.810669	-0.816509	0.029198	18.646096	0.359248	0.117275	0.011545	0.117422	12	67	80
750	-0.752424	-0.758180	0.028778	19.646096	0.350409	0.099880	0.011280	0.099611	12	84	98
751	-0.783244	-0.788905	0.028304	20.634814	0.342088	0.131678	0.011169	0.131528	12	90	102
752	-0.750916	-0.756546	0.028148	19.683314	0.350089	0.100136	0.010975	0.100097	17	86	105
753	-0.777991	-0.783825	0.029172	20.680396	0.341714	0.105564	0.011350	0.105409	14	93	108
754	-0.746332	-0.751981	0.028243	19.728895	0.349697	0.092710	0.010976	0.092598	14	88	104
755	-0.776447	-0.782106	0.028299	18.777395	0.358062	0.109393	0.010997	0.109362	13	62	75
756	-0.760043	-0.765556	0.027565	19.777395	0.349281	0.119112	0.010885	0.119207	7	44	52
757	-0.783950	-0.789681	0.028654	20.151403	0.346106	0.099566	0.011282	0.099310	9	135	145
758	-0.771377	-0.777142	0.028822	19.199903	0.354298	0.117773	0.011284	0.117696	29	124	154
759	-0.781811	-0.787470	0.028293	20.199903	0.345699	0.110568	0.011169	0.110277	29	53	83
760	-0.766108	-0.771757	0.028247	19.248412	0.353871	0.097756	0.010936	0.097782	6	64	70
761	-0.735055	-0.740688	0.028161	20.248412	0.345292	0.123874	0.010882	0.123669	7	47	55
762	-0.801675	-0.807527	0.029261	19.296912	0.353446	0.106585	0.011577	0.106398	6	55	62
763	-0.766691	-0.772404	0.028565	18.345411	0.361993	0.106042	0.011059	0.105842	14	43	58
764	-0.769011	-0.774631	0.028100	17.393911	0.370964	0.100727	0.010930	0.100492	6	42	49
765	-0.752350	-0.758130	0.028903	18.393911	0.361547	0.109419	0.011189	0.109204	12	42	55
766	-0.739250	-0.744947	0.028483	19.393911	0.352597	0.125676	0.010998	0.125788	6	42	49
767	-0.787062	-0.792743	0.028402	19.769594	0.349348	0.108533	0.011145	0.108399	14	70	85
768	-0.775022	-0.780746	0.028623	18.818094	0.357696	0.114130	0.011142	0.113995	12	50	63
769	-0.784934	-0.790749	0.029076	19.818094	0.348933	0.110760	0.011378	0.110577	12	42	55
770	-0.753032	-0.758795	0.028815	20.818094	0.340589	0.096418	0.011201	0.095973	7	62	70
771	-0.780632	-0.786365	0.028665	19.866781	0.348517	0.102884	0.011128	0.103003	6	42	48
772	-0.782480	-0.787973	0.027466	18.915302	0.356825	0.102495	0.010844	0.102300	7	52	60
773	-0.760675	-0.766240	0.027822	17.963801	0.365538	0.119714	0.010783	0.119685	6	43	49
